"区分","就職先別県外就職者数_計","就職先別県外就職者数_北海道","就職先別県外就職者数_埼玉","就職先別県外就職者数_千葉","就職先別県外就職者数_東京","就職先別県外就職者数_神奈川","就職先別県外就職者数_静岡","就職先別県外就職者数_愛知","就職先別県外就職者数_三重","就職先別県外就職者数_滋賀","就職先別県外就職者数_京都","就職先別県外就職者数_大阪","就職先別県外就職者数_兵庫","就職先別県外就職者数_奈良","就職先別県外就職者数_岡山","就職先別県外就職者数_広島","就職先別県外就職者数_山口","就職先別県外就職者数_香川","就職先別県外就職者数_高知","就職先別県外就職者数_大分","就職先別県外就職者数_その他","就職者のうち県外に就職した割合(％)計","就職者のうち県外に就職した割合(％)男","就職者のうち県外に就職した割合(％)女"
"県計  ","468.0","1.0","3.0","2.0","23.0","3.0","1.0","35.0","11.0","2.0","18.0","314.0","13.0","26.0","1.0","2.0","10.0","1.0","1.0","1.0","0.0","23.5175879396985","27.3879966187659","17.8438661710037"
"和歌山市","112.0","0.0","1.0","2.0","12.0","0.0","1.0","2.0","0.0","0.0","2.0","84.0","4.0","0.0","1.0","2.0","0.0","1.0","0.0","0.0","0.0","16.4948453608247","19.0476190476191","12.3552123552124"
"海南市","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","4.76190476190476","7.14285714285714","2.85714285714286"
"橋本市","63.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","2.0","0.0","1.0","41.0","1.0","15.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","45.985401459854","47.6635514018692","40.0"
"有田市","13.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","9.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","11.0169491525424","13.4328358208955","7.84313725490196"
"御坊市","16.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","2.0","10.0","0.0","1.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","17.3913043478261","19.2982456140351","14.2857142857143"
"田辺市","75.0","0.0","0.0","0.0","4.0","0.0","0.0","7.0","1.0","1.0","5.0","53.0","2.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","33.3333333333333","42.1383647798742","12.1212121212121"
"新宮市","63.0","0.0","0.0","0.0","0.0","1.0","0.0","16.0","6.0","0.0","2.0","30.0","1.0","1.0","0.0","0.0","5.0","0.0","0.0","1.0","0.0","53.8461538461539","57.6271186440678","50.0"
"紀の川市","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.69230769230769","9.80392156862745","5.66037735849057"
"岩出市","4.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","20.0","12.5","25.0"
"紀美野町","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","28.5714285714286","20.0","50.0"
"かつらぎ町","19.0","0.0","1.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","11.0","0.0","6.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","26.027397260274","20.9302325581395","33.3333333333333"
"九度山町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"高野町","7.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","2.0","3.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","77.7777777777778","87.5","0.0"
"湯浅町","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","7.69230769230769","5.55555555555556","12.5"
"広川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"有田川町","8.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","9.63855421686747","11.6279069767442","7.5"
"美浜町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"日高町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"由良町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"印南町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"みなべ町","18.0","1.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","2.0","13.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","17.3076923076923","13.8888888888889","19.1176470588235"
"日高川町","6.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","60.0","75.0","0.0"
"白浜町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"上富田町","20.0","0.0","0.0","0.0","1.0","0.0","0.0","3.0","0.0","0.0","1.0","14.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","29.8507462686567","29.0322580645161","30.5555555555556"
"すさみ町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"那智勝浦町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"太地町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"古座川町","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"北山村","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"串本町","29.0","0.0","0.0","0.0","0.0","0.0","0.0","4.0","1.0","0.0","1.0","21.0","0.0","0.0","0.0","0.0","1.0","0.0","1.0","0.0","0.0","51.7857142857143","60.0","38.0952380952381"
